DENOM_CIA;CD_CVM
TIM PARTICIPACOES S.A.;17639
BIOSEV S.A.;22845
COSAN LOGISTICA S.A.;23485
BIOTOSCANA INVESTMENTS S.A.;80179
UP ENGENHARIA E URBANISMO S.A.;24856
LG INFORMÁTICA S.A.;25666
EMPRESA NAC COM REDITO PART S.A.ENCORPAR;16497
MASSA FALIDA DA MMX MINERACAO E METALICOS S.A.;17914
AES TIETE ENERGIA SA;18970
WILSON SONS LTD.;80047
SMILES FIDELIDADE S.A.;24252
TERRA SANTA AGRO S.A.;20354
SENDAS DISTRIBUIDORA S.A.;25372
LINX S.A.;23035
MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.;25470
PARTICIPAÇÕES INDUST. DO NORDESTE S.A.;1597
PARANA BCO S.A.;20729
NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.;24384
TROCAFONE S.A.;26573
VENTURE CAPITAL PARTICIPAÇÕES E INVESTIMENTOS S/A;24309
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A.;25488
ENTALPIA PARTICIPAÇÕES S.A.;26131
LOJAS AMERICANAS S.A.;8087
CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;3328
CS BRASIL PARTICIPAÇÕES E LOCAÇÕES S.A.;25739
BLUE TECH SOLUTIONS EQI S.A.;12319
CIA HERING;14761
DOHLER S.A.;5207
STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS;24201
ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;26069
BANCO INTER S.A.;24406
VIRGO II COMPANHIA DE SECURITIZACAO;18287
AMMO VAREJO S.A.;26476
CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO;20184
CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;21709
DOMMO ENERGIA S.A.;23493
GETNET ADQ E SERV PARA MEIOS DE PAGTO S.A. - INST PAGTO;26140
RIVA INCORPORADORA S.A;24996
HOUSI S.A.;25313
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL;23868
CREDGRID SERVIÇOS FINANCEIROS S.A.;26972
SELF IT ACADEMIAS HOLDING S.A.;26794
HOLDING VERZANI E SANDRINI S.A.;26689
SUL AMERICA S.A.;21121
ATHENA SAÚDE BRASIL SA;25810
TECNOSOLO ENGENHARIA S.A. - EMPRESA FALIDA;11207
IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL;6815
BRB BANCO DE BRASILIA S.A.;14206
CARAMURU ALIMENTOS S.A.;26190
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;20990
LETS RENT A CAR S/A;27383
JALLES MACHADO S.A.;25496
BRADESPAR S.A.;18724
SINQIA S.A.;22799
UNIGEL PARTICIPAÇÕES S.A.;26301
BR PROPERTIES S.A.;19925
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;23981
CINESYSTEM S.A.;23965
SPRINGS GLOBAL PARTICIPACOES S.A.;20966
JHSF MALLS S.A.;24473
RAIZEN ENERGIA S.A.;23230
CERRADINHO BIOENERGIA S.A.;26522
2W ECOBANK S.A.;25224
GUARARAPES PAINÉIS S.A.;26115
REAG INVESTIMENTOS S.A.;26964
FLEX GESTÃO DE RELACIONAMENTOS S.A.-EM RECUPERAÇÃO JUDICIAL;24350
