DENOM_CIA;CD_CVM
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;22217
MCM CIMENTOS S/A;22284
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;22497
PASCRO PARTICIPAÇÕES S.A.;22209
MOURA DUBEUX ENGENHARIA S/A;21067
REDENTOR ENERGIA S/A;22128
STEIN SP II PARTICIPAÇÕES S.A.;22292
PERENCO PETRÓLEO E GÁS DO BRASIL PARTICIPAÇÕES S.A.;22527
HIDROVIAS DO BRASIL S.A.;22675
ISOLUX INFRASTRUCTURE S.A.;22624
MLOG S.A.;22586
PRONOR PETROQUIMICA SA;9784
QGN PARTICIPAÇÕES SA;9857
ELEKEIROZ S.A.;4359
PARTICIPAÇÕES INDUST. DO NORDESTE S.A.;1597
PACIFIC RUBIALES ENERGY CORP.;80144
SANSUY S.A. INDUSTRIA DE PLASTICOS;12696
J. MACEDO S.A.;21156
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;4863
TRONOX PIGMENTOS DO BRASIL S.A.;11398
CIA FERRO LIGAS DA BAHIA - FERBASA;3069
CIA SEGUROS ALIANCA DA BAHIA;3115
METANOR SA METANOL DO NE;8745
SUZANO S.A.;13986
AREZZO INDÚSTRIA E COMÉRCIO S.A.;22349
DIRECIONAL ENGENHARIA S.A.;21350
LOCALIZA RENT A CAR S.A.;19739
CIA ENERGETICA DE MINAS GERAIS - CEMIG;2453
FIACAO E TECELAGEM SAO JOSE SA EM RECUPERACAO JUDICIAL;5983
ALFA HOLDINGS S.A.;9954
CONSORCIO ALFA DE ADMINISTRACAO S.A.;4707
CIA FIACAO TECIDOS CEDRO CACHOEIRA;3077
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;19445
VALE FERTILIZANTES S.A.;14028
CIA INDUSTRIAL CATAGUASES;3395
CIA TECIDOS SANTANENSE;4081
ELETROSOM S/A;22373
FERTILIZANTES HERINGER S.A.;20621
CIA TECIDOS NORTE DE MINAS COTEMINAS;3158
TEC TOY S.A.;14133
RUMO MALHA NORTE S.A.;15300
WEMBLEY SOCIEDADE ANÔNIMA;11800
CAFE SOLUVEL BRASILIA SA;2062
MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.;22012
BCO ABC BRASIL S.A.;20958
INDÚSTRIA VEROLME S.A. - IVESA;12866
SAO CARLOS EMPREEND E PARTICIPACOES S.A.;13781
SUL AMERICA S.A.;21121
PREDILETO ALIMENTOS SA;14010
VIX LOGÍSTICA S.A.;21202
TELEMAR NORTE LESTE SA;11320
PETROLEO BRASILEIRO S.A. PETROBRAS;9512
SOUZA CRUZ SA;4057
